,Shape,Price,Carat,CutGrade,Color,Clarity,report
0,Round,"$4,460",2.01,Very Good,F,VS1,GIA
1,Round,"$4,050",2.00,Very Good,G,VS1,GIA
2,Round,"$3,170",1.50,Very Good,E,VVS2,GIA
3,Round,"$7,230",2.45,Very Good,F,VVS2,GIA
4,Round,"$6,630",2.02,Very Good,D,VVS2,GIA
5,Round,"$5,480",2.43,Very Good,F,VS2,GIA
6,Round,"$9,930",2.80,Very Good,E,VS1,GIA
7,Round,"$4,520",1.54,Very Good,D,VVS1,GIA
8,Round,"$3,600",2.01,Very Good,H,VS1,GIA
9,Round,"$3,390",1.70,Very Good,E,VS2,GIA
10,Round,"$2,890",1.51,Very Good,D,VS1,GIA
11,Round,"$4,760",2.01,Very Good,G,VVS2,GIA
12,Round,"$5,120",2.05,Very Good,D,VS2,GIA
13,Round,"$6,900",3.00,Very Good,I,VS1,GIA
14,Round,"$2,750",1.72,Very Good,E,SI1,GIA
15,Round,$710,0.53,Very Good,D,VS1,GIA
16,Round,"$1,410",1.01,Very Good,G,VS1,GIA
17,Round,"$1,900",1.20,Very Good,E,VVS2,GIA
18,Round,"$2,180",1.30,Very Good,D,VS2,GIA
19,Round,"$2,180",1.30,Very Good,D,VS2,GIA
20,Round,"$2,640",1.58,Very Good,D,SI1,GIA
21,Round,"$2,640",1.50,Very Good,D,SI1,GIA
22,Round,"$2,730",1.31,Very Good,D,VVS2,GIA
23,Round,"$2,730",1.31,Very Good,D,VVS2,GIA
24,Round,"$2,820",1.35,Very Good,D,VVS2,GIA
25,Round,"$2,830",1.53,Very Good,D,VS2,GIA
26,Round,"$2,880",1.61,Very Good,F,VS1,GIA
27,Round,"$3,090",1.48,Very Good,D,VVS2,GIA
28,Round,"$3,240",1.60,Very Good,D,VS1,GIA
29,Round,"$3,240",1.60,Very Good,D,VS1,GIA
30,Round,"$3,240",1.50,Very Good,D,VS1,GIA
31,Round,"$3,280",1.62,Very Good,D,VS1,GIA
32,Round,"$3,310",1.70,Very Good,D,SI1,GIA
33,Round,"$3,620",1.52,Very Good,D,VVS2,GIA
34,Round,"$3,690",1.51,Very Good,D,VVS2,GIA
35,Round,"$3,790",1.55,Very Good,D,VVS2,GIA
36,Round,"$3,790",1.55,Very Good,D,VVS2,GIA
37,Round,"$3,940",2.20,Very Good,H,VS1,GIA
38,Round,"$4,130",1.71,Very Good,D,VS1,GIA
39,Round,"$4,130",1.71,Very Good,D,VS1,GIA
40,Round,"$4,160",2.00,Very Good,E,SI1,GIA
41,Round,"$4,440",2.00,Very Good,F,VS1,GIA
42,Round,"$4,880",2.00,Very Good,F,VS1,GIA
43,Round,"$4,920",2.22,Very Good,F,VS1,GIA
44,Round,"$5,100",2.04,Very Good,D,VS2,GIA
45,Round,"$5,180",2.39,Very Good,G,VS1,GIA
46,Round,"$5,190",2.01,Very Good,F,VS1,GIA
47,Round,"$5,210",2.20,Very Good,G,VVS2,GIA
48,Round,"$5,420",1.75,Very Good,D,VVS2,GIA
49,Round,"$5,420",1.75,Very Good,D,VVS2,GIA
50,Round,"$5,510",2.03,Very Good,E,VS1,GIA
51,Round,"$5,550",2.32,Very Good,F,VS1,GIA
52,Round,"$5,590",2.56,Very Good,H,VS1,GIA
53,Round,"$5,930",2.00,Very Good,D,VS1,GIA
54,Round,"$5,990",2.41,Very Good,G,VVS2,GIA
55,Round,"$6,030",1.70,Very Good,D,VVS1,GIA
56,Round,"$6,160",2.01,Very Good,E,VVS2,GIA
57,Round,"$6,520",2.08,Very Good,E,VVS2,GIA
58,Round,"$6,880",2.33,Very Good,F,VVS2,GIA
59,Round,"$7,180",2.70,Very Good,G,VS1,GIA
60,Round,"$9,480",2.56,Very Good,D,VS1,GIA
61,Round,"$9,520",2.01,Very Good,D,VVS1,GIA
62,Round,"$9,830",3.02,Very Good,G,VS1,GIA
63,Round,"$10,060",3.09,Very Good,G,VS1,GIA
64,Round,"$10,770",2.50,Very Good,F,VVS2,GIA
65,Round,"$11,110",3.00,Very Good,G,VVS2,GIA
66,Round,"$11,200",3.00,Very Good,F,VS1,GIA
67,Round,"$11,580",3.10,Very Good,F,VS1,GIA
68,Round,"$11,970",3.56,Very Good,G,VS2,GIA
69,Round,"$13,570",3.01,Very Good,F,VVS2,GIA
70,Round,"$13,940",3.13,Very Good,F,VVS2,GIA
71,Round,"$14,190",3.01,Very Good,E,VS1,GIA
72,Round,"$14,490",3.52,Very Good,F,VS2,GIA
73,Round,"$14,630",3.52,Very Good,F,VS2,GIA
74,Round,"$16,200",3.50,Very Good,F,VS1,GIA
75,Round,"$16,580",3.62,Very Good,F,VS1,GIA
76,Round,"$17,980",4.00,Very Good,F,VS2,GIA
77,Round,"$18,930",3.50,Very Good,E,VS1,GIA
